Positive Control,106,,,
Negative Control,4,,,
NaCl Solution,23,,,
KCl,32,,,
CaCl2,17,,,
Positive Control,84,,,
Negative Control,11,,,
NaCl Solution,21,,,
KCl,45,,,
CaCl2,9,,,
Positive Control,125,,,
Negative Control,12,,,
NaCl Solution,28,,,
KCl,43,,,
CaCl2,28,,,
Positive Control,111,,,
Negative Control,11,,,
NaCl Solution,31,,,
KCl,47,,,
CaCl2,31,,,
Positive Control,109,,,
Negative Control,7,,,
NaCl Solution,27,,,
KCl,32,,,
CaCl2,24,,,
Positive Control,126,,,
Negative Control,8,,,
NaCl Solution,21,,,
KCl,44,,,
CaCl2,21,,,
